Gene name,Gene stable ID version,Human gene stable ID,Human gene name
Zfp78,ENSMUSG00000055150.15,ENSG00000197054,ZNF763
Zfp78,ENSMUSG00000055150.15,ENSG00000171291,ZNF439
Zfp78,ENSMUSG00000055150.15,ENSG00000267179,AC008770.2
Zfp78,ENSMUSG00000055150.15,ENSG00000198429,ZNF69
Zfp78,ENSMUSG00000055150.15,ENSG00000215343,ZNF705D
Zfp78,ENSMUSG00000055150.15,ENSG00000215372,ZNF705G
Zfp78,ENSMUSG00000055150.15,ENSG00000214534,ZNF705E
Zfp78,ENSMUSG00000055150.15,ENSG00000196946,ZNF705A
Zfp78,ENSMUSG00000055150.15,ENSG00000215356,ZNF705B
Zfp78,ENSMUSG00000055150.15,ENSG00000214029,ZNF891
Zfp78,ENSMUSG00000055150.15,ENSG00000147121,KRBOX4
Zfp78,ENSMUSG00000055150.15,ENSG00000251192,ZNF674
Zfp78,ENSMUSG00000055150.15,ENSG00000186300,ZNF555
Zfp78,ENSMUSG00000055150.15,ENSG00000130684,ZNF337
Zfp78,ENSMUSG00000055150.15,ENSG00000198028,ZNF560
Zfp78,ENSMUSG00000055150.15,ENSG00000132010,ZNF20
Zfp78,ENSMUSG00000055150.15,ENSG00000196418,ZNF124
Zfp78,ENSMUSG00000055150.15,ENSG00000186230,ZNF749
Zfp78,ENSMUSG00000055150.15,ENSG00000172000,ZNF556
Zfp78,ENSMUSG00000055150.15,ENSG00000164256,PRDM9
Gm21366,ENSMUSG00000103919.1,ENSG00000139351,SYCP3
Tmem263,ENSMUSG00000060935.6,ENSG00000151135,TMEM263
Fam120b,ENSMUSG00000014763.8,ENSG00000112584,FAM120B
Lrrc45,ENSMUSG00000025145.13,ENSG00000169683,LRRC45
Gm11992,ENSMUSG00000040978.4,ENSG00000164746,C7orf57
Crebbp,ENSMUSG00000022521.10,ENSG00000005339,CREBBP
Ndufaf6,ENSMUSG00000050323.14,ENSG00000156170,NDUFAF6
Mterf2,ENSMUSG00000049038.3,ENSG00000120832,MTERF2
Cers2,ENSMUSG00000015714.11,ENSG00000143418,CERS2
Gm28897,ENSMUSG00000099740.1,ENSG00000139351,SYCP3
Mmp1b,ENSMUSG00000041620.8,ENSG00000196611,MMP1
Sun3,ENSMUSG00000040985.13,ENSG00000164744,SUN3
Chrm2,ENSMUSG00000045613.9,ENSG00000181072,CHRM2
Wnt6,ENSMUSG00000033227.7,ENSG00000115596,WNT6
Map10,ENSMUSG00000050930.5,ENSG00000212916,MAP10
Olfr1111,ENSMUSG00000075158.5,ENSG00000181785,OR5AS1
Dsc2,ENSMUSG00000024331.11,ENSG00000134755,DSC2
Cd33,ENSMUSG00000004609.11,ENSG00000105383,CD33
Cd33,ENSMUSG00000004609.11,ENSG00000105492,SIGLEC6
Efemp1,ENSMUSG00000020467.15,ENSG00000115380,EFEMP1
Lmnb2,ENSMUSG00000062075.13,ENSG00000176619,LMNB2
Klhl33,ENSMUSG00000090799.2,ENSG00000185271,KLHL33
Thoc1,ENSMUSG00000024287.8,ENSG00000079134,THOC1
Insr,ENSMUSG00000005534.10,ENSG00000171105,INSR
B3galnt1,ENSMUSG00000043300.2,ENSG00000169255,B3GALNT1
Ggt1,ENSMUSG00000006345.10,ENSG00000100121,GGTLC2
Ggt1,ENSMUSG00000006345.10,ENSG00000274252,GGTLC3
Ggt1,ENSMUSG00000006345.10,ENSG00000133475,GGT2
Ggt1,ENSMUSG00000006345.10,ENSG00000149435,GGTLC1
Ggt1,ENSMUSG00000006345.10,ENSG00000100031,GGT1
Commd2,ENSMUSG00000036513.15,ENSG00000114744,COMMD2
Aatk,ENSMUSG00000025375.15,ENSG00000181409,AATK
Rictor,ENSMUSG00000050310.9,ENSG00000164327,RICTOR
Kalrn,ENSMUSG00000061751.16,ENSG00000160145,KALRN
Olfr640,ENSMUSG00000066262.4,ENSG00000167359,OR51I1
Adgrf1,ENSMUSG00000041293.5,ENSG00000153292,ADGRF1
Atpsckmt,ENSMUSG00000039065.11,ENSG00000150756,ATPSCKMT
Strc,ENSMUSG00000033498.14,ENSG00000242866,STRC
Olfr646,ENSMUSG00000073931.3,ENSG00000181609,OR52D1
Olfr638,ENSMUSG00000094063.4,ENSG00000167360,OR51Q1
Zfp438,ENSMUSG00000050945.8,ENSG00000183621,ZNF438
Slc16a10,ENSMUSG00000019838.11,ENSG00000112394,SLC16A10
Deptor,ENSMUSG00000022419.16,ENSG00000155792,DEPTOR
Eif2d,ENSMUSG00000026427.16,ENSG00000143486,EIF2D
Nfx1,ENSMUSG00000028423.15,ENSG00000086102,NFX1
Cldn6,ENSMUSG00000023906.3,ENSG00000184697,CLDN6
Itgax,ENSMUSG00000030789.9,ENSG00000140678,ITGAX
Olfr641,ENSMUSG00000073932.2,ENSG00000187918,OR51I2
Pde1c,ENSMUSG00000004347.17,ENSG00000154678,PDE1C
Mapre2,ENSMUSG00000024277.14,ENSG00000166974,MAPRE2
Osbp2,ENSMUSG00000020435.17,ENSG00000184792,OSBP2
Fbxo10,ENSMUSG00000048232.12,ENSG00000147912,FBXO10
Cog5,ENSMUSG00000035933.5,ENSG00000164597,COG5
Copz2,ENSMUSG00000018672.15,ENSG00000005243,COPZ2
Pygb,ENSMUSG00000033059.7,ENSG00000100994,PYGB
Psmg4,ENSMUSG00000071451.10,ENSG00000180822,PSMG4
Pkd1l2,ENSMUSG00000034416.18,ENSG00000166473,PKD1L2
Ckmt1,ENSMUSG00000000308.14,ENSG00000237289,CKMT1B
Ckmt1,ENSMUSG00000000308.14,ENSG00000223572,CKMT1A
Igkv6-17,ENSMUSG00000095794.2,ENSG00000211598,IGKV4-1
Pbx4,ENSMUSG00000031860.17,ENSG00000105717,PBX4
Setdb1,ENSMUSG00000015697.14,ENSG00000143379,SETDB1
Tmed7,ENSMUSG00000033184.14,ENSG00000251201,TMED7-TICAM2
Tmed7,ENSMUSG00000033184.14,ENSG00000134970,TMED7
Fbxo40,ENSMUSG00000047746.14,ENSG00000163833,FBXO40
Eif4a2,ENSMUSG00000022884.16,ENSG00000156976,EIF4A2
Eif4enif1,ENSMUSG00000020454.17,ENSG00000184708,EIF4ENIF1
Gpr22,ENSMUSG00000044067.7,ENSG00000172209,GPR22
Cavin4,ENSMUSG00000028348.7,ENSG00000170681,CAVIN4
Fbxl5,ENSMUSG00000039753.16,ENSG00000118564,FBXL5
Ube2j2,ENSMUSG00000023286.16,ENSG00000160087,UBE2J2
Stx3,ENSMUSG00000041488.16,ENSG00000166900,STX3
Hbp1,ENSMUSG00000002996.17,ENSG00000105856,HBP1
Zfp518a,ENSMUSG00000049164.7,ENSG00000177853,ZNF518A
Cldn9,ENSMUSG00000066720.7,ENSG00000213937,CLDN9
Foxn1,ENSMUSG00000002057.4,ENSG00000109101,FOXN1
Tas2r119,ENSMUSG00000045267.3,ENSG00000169777,TAS2R1
Pou5f2,ENSMUSG00000093668.3,ENSG00000248483,POU5F2
Fam172a,ENSMUSG00000064138.14,ENSG00000113391,FAM172A
Reg3b,ENSMUSG00000071356.7,ENSG00000172023,REG1B
1520401A03Rik,ENSMUSG00000043747.12,ENSG00000262152,LINC00514
Usp14,ENSMUSG00000047879.17,ENSG00000101557,USP14
Chit1,ENSMUSG00000026450.14,ENSG00000133063,CHIT1
Polr1e,ENSMUSG00000028318.14,ENSG00000137054,POLR1E
Meiob,ENSMUSG00000024155.8,ENSG00000162039,MEIOB
Cilp2,ENSMUSG00000044006.8,ENSG00000160161,CILP2
Nbeal1,ENSMUSG00000073664.11,ENSG00000144426,NBEAL1
Cyp4a32,ENSMUSG00000063929.6,ENSG00000186204,CYP4F12
Cyp4a32,ENSMUSG00000063929.6,ENSG00000187048,CYP4A11
Cyp4a32,ENSMUSG00000063929.6,ENSG00000162365,CYP4A22
Cyp4a32,ENSMUSG00000063929.6,ENSG00000171903,CYP4F11
Olfr222,ENSMUSG00000059610.5,ENSG00000177535,OR2B11
Hebp2,ENSMUSG00000019853.6,ENSG00000051620,HEBP2
Senp3,ENSMUSG00000005204.12,ENSG00000277957,SENP3-EIF4A1
Senp3,ENSMUSG00000005204.12,ENSG00000161956,SENP3
Katnal2,ENSMUSG00000025420.13,ENSG00000167216,KATNAL2
Tanc2,ENSMUSG00000053580.16,ENSG00000170921,TANC2
Wif1,ENSMUSG00000020218.11,ENSG00000156076,WIF1
1700001O22Rik,ENSMUSG00000044320.14,ENSG00000179058,C9orf50
Styxl1,ENSMUSG00000019178.17,ENSG00000127952,STYXL1
Gm20911,ENSMUSG00000099894.1,ENSG00000139351,SYCP3
Mterf3,ENSMUSG00000021519.11,ENSG00000156469,MTERF3
Ehbp1l1,ENSMUSG00000024937.15,ENSG00000173442,EHBP1L1
Ndufa4,ENSMUSG00000029632.7,ENSG00000189043,NDUFA4
Saxo2,ENSMUSG00000038570.15,ENSG00000188659,SAXO2
Hnrnpc,ENSMUSG00000060373.15,ENSG00000179172,HNRNPCL1
Hnrnpc,ENSMUSG00000060373.15,ENSG00000179412,HNRNPCL4
Hnrnpc,ENSMUSG00000060373.15,ENSG00000275774,HNRNPCL2
Hnrnpc,ENSMUSG00000060373.15,ENSG00000277058,HNRNPCL3
Hnrnpc,ENSMUSG00000060373.15,ENSG00000092199,HNRNPC
Clcn6,ENSMUSG00000029016.13,ENSG00000011021,CLCN6
Pqlc3,ENSMUSG00000045679.14,ENSG00000162976,SLC66A3
Trgc1,ENSMUSG00000076749.2,ENSG00000211693,TRGV11
Blmh,ENSMUSG00000020840.10,ENSG00000108578,BLMH
Asb10,ENSMUSG00000038204.13,ENSG00000146926,ASB10
Ntpcr,ENSMUSG00000031851.14,ENSG00000135778,NTPCR
Trp53inp1,ENSMUSG00000028211.11,ENSG00000164938,TP53INP1
Mrpl28,ENSMUSG00000024181.9,ENSG00000086504,MRPL28
Trgv3,ENSMUSG00000076750.6,ENSG00000211693,TRGV11
Best3,ENSMUSG00000020169.4,ENSG00000127325,BEST3
Ptdss1,ENSMUSG00000021518.4,ENSG00000156471,PTDSS1
Trgc3,ENSMUSG00000091682.2,ENSG00000211693,TRGV11
Arrdc4,ENSMUSG00000042659.15,ENSG00000140450,ARRDC4
Nacad,ENSMUSG00000041073.10,ENSG00000136274,NACAD
Trgc2,ENSMUSG00000076752.2,ENSG00000211693,TRGV11
Lhx6,ENSMUSG00000026890.19,ENSG00000106852,LHX6
Wrap73,ENSMUSG00000029029.14,ENSG00000116213,WRAP73
Tex26,ENSMUSG00000029660.10,ENSG00000175664,TEX26
Slc25a40,ENSMUSG00000054099.11,ENSG00000075303,SLC25A40
Cpne3,ENSMUSG00000028228.5,ENSG00000085719,CPNE3
Tufm,ENSMUSG00000073838.10,ENSG00000178952,TUFM
Naaladl1,ENSMUSG00000054999.2,ENSG00000168060,NAALADL1
Mrpl4,ENSMUSG00000003299.10,ENSG00000105364,MRPL4
Vps8,ENSMUSG00000033653.18,ENSG00000156931,VPS8
Spry4,ENSMUSG00000024427.7,ENSG00000187678,SPRY4
Uqcrb,ENSMUSG00000021520.4,ENSG00000156467,UQCRB
Tprgl,ENSMUSG00000029030.14,ENSG00000158109,TPRG1L
Trgv2,ENSMUSG00000076754.2,ENSG00000211693,TRGV11
Ptpn13,ENSMUSG00000034573.14,ENSG00000163629,PTPN13
Gm10767,ENSMUSG00000074826.10,ENSG00000169612,RAMAC
Gm10767,ENSMUSG00000074826.10,ENSG00000235272,RAMACL
Trgv1,ENSMUSG00000076755.2,ENSG00000211693,TRGV11
Nipsnap1,ENSMUSG00000034285.15,ENSG00000184117,NIPSNAP1
Csmd1,ENSMUSG00000060924.15,ENSG00000183117,CSMD1
Sac3d1,ENSMUSG00000024790.8,ENSG00000168061,SAC3D1
Prpsap1,ENSMUSG00000015869.16,ENSG00000161542,PRPSAP1
Asnsd1,ENSMUSG00000026095.15,ENSG00000286165,AC012488.2
Asnsd1,ENSMUSG00000026095.15,ENSG00000138381,ASNSD1
Chil1,ENSMUSG00000064246.10,ENSG00000133048,CHI3L1
Dennd3,ENSMUSG00000036661.14,ENSG00000105339,DENND3
Iqca1l,ENSMUSG00000038199.12,ENSG00000278685,IQCA1L
Uqcrc2,ENSMUSG00000030884.12,ENSG00000140740,UQCRC2
Adora2a,ENSMUSG00000020178.6,ENSG00000128271,ADORA2A
Itgad,ENSMUSG00000070369.13,ENSG00000156886,ITGAD
Gm42715,ENSMUSG00000107023.2,ENSG00000282034,AC106886.6
Gm42715,ENSMUSG00000107023.2,ENSG00000080603,SRCAP
Tssk6,ENSMUSG00000047654.6,ENSG00000178093,TSSK6
Yjefn3,ENSMUSG00000048967.16,ENSG00000250067,YJEFN3
Snrpd3,ENSMUSG00000020180.10,ENSG00000286070,AP000356.5
Snrpd3,ENSMUSG00000020180.10,ENSG00000100028,SNRPD3
Taf9,ENSMUSG00000052293.14,ENSG00000273841,TAF9
Ndufa13,ENSMUSG00000036199.9,ENSG00000186010,NDUFA13
Rad17,ENSMUSG00000021635.14,ENSG00000152942,RAD17
Gabrb2,ENSMUSG00000007653.12,ENSG00000145864,GABRB2
Gucd1,ENSMUSG00000033416.15,ENSG00000138867,GUCD1
Srcap,ENSMUSG00000053877.12,ENSG00000282034,AC106886.6
Srcap,ENSMUSG00000053877.12,ENSG00000080603,SRCAP
Stard3,ENSMUSG00000018167.10,ENSG00000131748,STARD3
Lonrf2,ENSMUSG00000048814.11,ENSG00000170500,LONRF2
Zfp719,ENSMUSG00000030469.10,ENSG00000196456,ZNF775
Gm8332,ENSMUSG00000095799.1,ENSG00000198692,EIF1AY
Gm5662,ENSMUSG00000079029.2,ENSG00000198692,EIF1AY
Reg3d,ENSMUSG00000068341.8,ENSG00000172023,REG1B
Trgc4,ENSMUSG00000076757.9,ENSG00000211693,TRGV11
Rbm11,ENSMUSG00000032940.16,ENSG00000185272,RBM11
Dcaf5,ENSMUSG00000049106.7,ENSG00000139990,DCAF5
Wnt2,ENSMUSG00000010797.6,ENSG00000105989,WNT2
Aqp7,ENSMUSG00000028427.13,ENSG00000165269,AQP7
Aqp7,ENSMUSG00000028427.13,ENSG00000259916,AL845331.1
Zfp9,ENSMUSG00000072623.6,ENSG00000175395,ZNF25
Kif5c,ENSMUSG00000026764.15,ENSG00000168280,KIF5C
Msmb,ENSMUSG00000021907.13,ENSG00000263639,MSMB
Gm50478,ENSMUSG00000117809.1,ENSG00000286053,ASDURF
Osgepl1,ENSMUSG00000026096.14,ENSG00000128694,OSGEPL1
Rassf5,ENSMUSG00000026430.16,ENSG00000266094,RASSF5
Pigp,ENSMUSG00000022940.17,ENSG00000185808,PIGP
Pdzd9,ENSMUSG00000030887.4,ENSG00000155714,PDZD9
Plppr1,ENSMUSG00000063446.4,ENSG00000148123,PLPPR1
Ptn,ENSMUSG00000029838.11,ENSG00000105894,PTN
Ccdc93,ENSMUSG00000026339.18,ENSG00000125633,CCDC93
Fbln7,ENSMUSG00000027386.9,ENSG00000144152,FBLN7
AL607142.1,ENSMUSG00000115115.1,ENSG00000284895,AC119676.1
Hivep3,ENSMUSG00000028634.17,ENSG00000127124,HIVEP3
Ceacam18,ENSMUSG00000030472.9,ENSG00000213822,CEACAM18
Gria3,ENSMUSG00000001986.16,ENSG00000125675,GRIA3
Wwp1,ENSMUSG00000041058.15,ENSG00000123124,WWP1
Lrrc10,ENSMUSG00000060187.4,ENSG00000198812,LRRC10
Reg3a,ENSMUSG00000079516.2,ENSG00000172023,REG1B
Rfc4,ENSMUSG00000022881.15,ENSG00000163918,RFC4
Ak6,ENSMUSG00000078941.9,ENSG00000273841,TAF9
Sema4a,ENSMUSG00000028064.17,ENSG00000196189,SEMA4A
Arhgap26,ENSMUSG00000036452.18,ENSG00000145819,ARHGAP26
Fahd1,ENSMUSG00000045316.5,ENSG00000180185,FAHD1
Nolc1,ENSMUSG00000015176.11,ENSG00000166197,NOLC1
Zeb1,ENSMUSG00000024238.15,ENSG00000148516,ZEB1
Hagh,ENSMUSG00000024158.17,ENSG00000063854,HAGH
Zc3h8,ENSMUSG00000027387.11,ENSG00000144161,ZC3H8
Casp3,ENSMUSG00000031628.9,ENSG00000164305,CASP3
Dhx34,ENSMUSG00000006019.15,ENSG00000134815,DHX34
Eif1a,ENSMUSG00000057561.10,ENSG00000198692,EIF1AY
Traf6,ENSMUSG00000027164.8,ENSG00000175104,TRAF6
Rab30,ENSMUSG00000030643.14,ENSG00000137502,RAB30
Fermt2,ENSMUSG00000037712.16,ENSG00000073712,FERMT2
Cox6a2,ENSMUSG00000030785.8,ENSG00000156885,COX6A2
Gm28551,ENSMUSG00000099913.1,ENSG00000286165,AC012488.2
Gm28551,ENSMUSG00000099913.1,ENSG00000138381,ASNSD1
Gm28778,ENSMUSG00000100679.1,ENSG00000128699,ORMDL1
Upb1,ENSMUSG00000033427.14,ENSG00000100024,UPB1
Nlrp6,ENSMUSG00000038745.15,ENSG00000174885,NLRP6
Abcc1,ENSMUSG00000023088.17,ENSG00000103222,ABCC1
Bst1,ENSMUSG00000029082.17,ENSG00000109743,BST1
Tfpi2,ENSMUSG00000029664.10,ENSG00000105825,TFPI2
Ankub1,ENSMUSG00000074591.8,ENSG00000206199,ANKUB1
Pkmyt1,ENSMUSG00000023908.8,ENSG00000127564,PKMYT1
Ypel2,ENSMUSG00000018427.8,ENSG00000175155,YPEL2
4921536K21Rik,ENSMUSG00000020434.4,ENSG00000187658,C5orf52
Gadd45b,ENSMUSG00000015312.9,ENSG00000099860,GADD45B
Hspa1b,ENSMUSG00000090877.3,ENSG00000204389,HSPA1A
Hspa1b,ENSMUSG00000090877.3,ENSG00000204388,HSPA1B
Ccdc43,ENSMUSG00000020925.16,ENSG00000180329,CCDC43
Pola2,ENSMUSG00000024833.15,ENSG00000285816,AP000944.5
Pola2,ENSMUSG00000024833.15,ENSG00000014138,POLA2
Wnt10a,ENSMUSG00000026167.14,ENSG00000135925,WNT10A
Chchd7,ENSMUSG00000042198.12,ENSG00000170791,CHCHD7
Hspa1a,ENSMUSG00000091971.3,ENSG00000204389,HSPA1A
Hspa1a,ENSMUSG00000091971.3,ENSG00000204388,HSPA1B
Blnk,ENSMUSG00000061132.13,ENSG00000095585,BLNK
Wnt5a,ENSMUSG00000021994.15,ENSG00000114251,WNT5A
Tnnt1,ENSMUSG00000064179.13,ENSG00000105048,TNNT1
Slc13a2,ENSMUSG00000001095.5,ENSG00000007216,SLC13A2
Myb,ENSMUSG00000019982.15,ENSG00000118513,MYB
Paqr4,ENSMUSG00000023909.4,ENSG00000162073,PAQR4
Upk1a,ENSMUSG00000006313.5,ENSG00000105668,UPK1A
Mavs,ENSMUSG00000037523.13,ENSG00000088888,MAVS
Cntnap2,ENSMUSG00000039419.17,ENSG00000174469,CNTNAP2
Csrp2,ENSMUSG00000020186.7,ENSG00000175183,CSRP2
Abcc8,ENSMUSG00000040136.10,ENSG00000006071,ABCC8
Ttc3,ENSMUSG00000040785.19,ENSG00000182670,TTC3
Klhl22,ENSMUSG00000022750.18,ENSG00000277971,AC007731.4
Klhl22,ENSMUSG00000022750.18,ENSG00000099910,KLHL22
Rmdn1,ENSMUSG00000028229.11,ENSG00000176623,RMDN1
Lmntd1,ENSMUSG00000054966.13,ENSG00000152936,LMNTD1
Rab3b,ENSMUSG00000003411.10,ENSG00000169213,RAB3B
Igkv8-16,ENSMUSG00000076591.3,ENSG00000211598,IGKV4-1
Cox6b1,ENSMUSG00000036751.7,ENSG00000126267,COX6B1
Axin1,ENSMUSG00000024182.16,ENSG00000103126,AXIN1
Fgl1,ENSMUSG00000031594.9,ENSG00000104760,FGL1
Rab44,ENSMUSG00000064147.7,ENSG00000255587,RAB44
Bco1,ENSMUSG00000031845.15,ENSG00000135697,BCO1
Zc3h6,ENSMUSG00000042851.17,ENSG00000188177,ZC3H6
Zfp28,ENSMUSG00000062861.8,ENSG00000196867,ZFP28
Lsm6,ENSMUSG00000031683.16,ENSG00000164167,LSM6
Reg2,ENSMUSG00000023140.4,ENSG00000115386,REG1A
Igkv6-15,ENSMUSG00000094797.1,ENSG00000211598,IGKV4-1
Gm7298,ENSMUSG00000108022.1,ENSG00000126838,PZP
Etv2,ENSMUSG00000006311.8,ENSG00000105672,ETV2
Fgf1,ENSMUSG00000036585.16,ENSG00000113578,FGF1
Mdh2,ENSMUSG00000019179.10,ENSG00000146701,MDH2
Bace2,ENSMUSG00000040605.7,ENSG00000182240,BACE2
Tcf23,ENSMUSG00000006642.3,ENSG00000163792,TCF23
Kremen2,ENSMUSG00000040680.9,ENSG00000131650,KREMEN2
Nhlrc3,ENSMUSG00000042997.13,ENSG00000188811,NHLRC3
Fam91a1,ENSMUSG00000037119.4,ENSG00000176853,FAM91A1
Abcf2,ENSMUSG00000028953.10,ENSG00000285292,ABCF2-H2BE1
Abcf2,ENSMUSG00000028953.10,ENSG00000033050,ABCF2
Supv3l1,ENSMUSG00000020079.15,ENSG00000156502,SUPV3L1
Grsf1,ENSMUSG00000044221.14,ENSG00000132463,GRSF1
Prox2,ENSMUSG00000042320.17,ENSG00000119608,PROX2
Bfsp1,ENSMUSG00000027420.13,ENSG00000125864,BFSP1
Flywch1,ENSMUSG00000040097.16,ENSG00000059122,FLYWCH1
Zmat2,ENSMUSG00000001383.9,ENSG00000146007,ZMAT2
Exd2,ENSMUSG00000032705.9,ENSG00000081177,EXD2
Efl1,ENSMUSG00000038563.14,ENSG00000140598,EFL1
Rac3,ENSMUSG00000018012.11,ENSG00000169750,RAC3
Bok,ENSMUSG00000026278.14,ENSG00000176720,BOK
Porcn,ENSMUSG00000031169.13,ENSG00000102312,PORCN
Hnrnpul1,ENSMUSG00000040725.13,ENSG00000105323,HNRNPUL1
Rbp7,ENSMUSG00000028996.9,ENSG00000162444,RBP7
Rhov,ENSMUSG00000034226.7,ENSG00000104140,RHOV
Tprn,ENSMUSG00000048707.9,ENSG00000176058,TPRN
C5ar2,ENSMUSG00000074361.11,ENSG00000134830,C5AR2
Fbln2,ENSMUSG00000064080.12,ENSG00000163520,FBLN2
Sptan1,ENSMUSG00000057738.14,ENSG00000197694,SPTAN1
Hspa1l,ENSMUSG00000007033.4,ENSG00000204390,HSPA1L
Tas2r137,ENSMUSG00000052850.5,ENSG00000127362,TAS2R3
Mosmo,ENSMUSG00000046096.7,ENSG00000185716,MOSMO
Gan,ENSMUSG00000052557.11,ENSG00000261609,GAN
Aqp3,ENSMUSG00000028435.8,ENSG00000165272,AQP3
Klhl29,ENSMUSG00000020627.10,ENSG00000119771,KLHL29
Tas2r108,ENSMUSG00000037140.6,ENSG00000127364,TAS2R4
Mpp2,ENSMUSG00000017314.12,ENSG00000108852,MPP2
Kdm1a,ENSMUSG00000036940.15,ENSG00000004487,KDM1A
Dse,ENSMUSG00000039497.8,ENSG00000111817,DSE
Dse,ENSMUSG00000039497.8,ENSG00000285446,Z84488.1
Cfap44,ENSMUSG00000071550.14,ENSG00000206530,CFAP44
Prdm10,ENSMUSG00000042496.18,ENSG00000170325,PRDM10
Galnt16,ENSMUSG00000021130.8,ENSG00000100626,GALNT16
Ddias,ENSMUSG00000030641.10,ENSG00000165490,DDIAS
Jup,ENSMUSG00000001552.14,ENSG00000173801,JUP
Snx15,ENSMUSG00000024787.14,ENSG00000110025,SNX15
Vamp4,ENSMUSG00000026696.15,ENSG00000117533,VAMP4
Csn1s1,ENSMUSG00000070702.9,ENSG00000126545,CSN1S1
Adgrf5,ENSMUSG00000056492.6,ENSG00000069122,ADGRF5
Fxr1,ENSMUSG00000027680.15,ENSG00000114416,FXR1
Hdac9,ENSMUSG00000004698.11,ENSG00000048052,HDAC9
Baz2a,ENSMUSG00000040054.17,ENSG00000076108,BAZ2A
Gm20715,ENSMUSG00000045929.8,ENSG00000268182,SMIM17
Hk3,ENSMUSG00000025877.14,ENSG00000160883,HK3
Fam135a,ENSMUSG00000026153.15,ENSG00000082269,FAM135A
Smim17,ENSMUSG00000093536.7,ENSG00000268182,SMIM17
Slc10a6,ENSMUSG00000029321.1,ENSG00000145283,SLC10A6
Tcap,ENSMUSG00000007877.2,ENSG00000173991,TCAP
Tbc1d30,ENSMUSG00000052302.6,ENSG00000288591,AC078815.1
Tbc1d30,ENSMUSG00000052302.6,ENSG00000111490,TBC1D30
Cryba4,ENSMUSG00000066975.12,ENSG00000196431,CRYBA4
Igfals,ENSMUSG00000046070.9,ENSG00000099769,IGFALS
Gm13128,ENSMUSG00000078508.1,ENSG00000116721,PRAMEF1
Gm13128,ENSMUSG00000078508.1,ENSG00000204479,PRAMEF17
Gm13128,ENSMUSG00000078508.1,ENSG00000270601,PRAMEF5
Gm13128,ENSMUSG00000078508.1,ENSG00000280267,PRAMEF26
Gm13128,ENSMUSG00000078508.1,ENSG00000116726,PRAMEF12
Gm13128,ENSMUSG00000078508.1,ENSG00000187545,PRAMEF10
Gm13128,ENSMUSG00000078508.1,ENSG00000237700,PRAMEF33
Gm13128,ENSMUSG00000078508.1,ENSG00000279804,PRAMEF18
Gm13128,ENSMUSG00000078508.1,ENSG00000204505,PRAMEF9
Gm13128,ENSMUSG00000078508.1,ENSG00000204478,PRAMEF20
Gm13128,ENSMUSG00000078508.1,ENSG00000182330,PRAMEF8
Gm13128,ENSMUSG00000078508.1,ENSG00000120952,PRAMEF2
Gm13128,ENSMUSG00000078508.1,ENSG00000239810,PRAMEF11
Gm13128,ENSMUSG00000078508.1,ENSG00000204481,PRAMEF14
Gm13128,ENSMUSG00000078508.1,ENSG00000204510,PRAMEF7
Gm13128,ENSMUSG00000078508.1,ENSG00000204501,PRAMEF15
Gm13128,ENSMUSG00000078508.1,ENSG00000243073,PRAMEF4
Gm13128,ENSMUSG00000078508.1,ENSG00000204480,PRAMEF19
Gm13128,ENSMUSG00000078508.1,ENSG00000274764,PRAMEF27
Gm13128,ENSMUSG00000078508.1,ENSG00000229571,PRAMEF25
Gm13128,ENSMUSG00000078508.1,ENSG00000232423,PRAMEF6
Gm13128,ENSMUSG00000078508.1,ENSG00000279169,PRAMEF13
Angptl1,ENSMUSG00000033544.6,ENSG00000116194,ANGPTL1
Ankrd26,ENSMUSG00000007827.10,ENSG00000181626,ANKRD62
C5ar1,ENSMUSG00000049130.6,ENSG00000197405,C5AR1
Cops7b,ENSMUSG00000026240.12,ENSG00000144524,COPS7B
Abhd12,ENSMUSG00000032046.15,ENSG00000100997,ABHD12
Ano2,ENSMUSG00000038115.16,ENSG00000047617,ANO2
Pclo,ENSMUSG00000061601.15,ENSG00000186472,PCLO
Hipk3,ENSMUSG00000027177.14,ENSG00000110422,HIPK3
Gngt1,ENSMUSG00000029663.10,ENSG00000127928,GNGT1
Upp1,ENSMUSG00000020407.13,ENSG00000183696,UPP1
Ralgps2,ENSMUSG00000026594.14,ENSG00000116191,RALGPS2
Siglece,ENSMUSG00000030474.9,ENSG00000129450,SIGLEC9
Siglece,ENSMUSG00000030474.9,ENSG00000105366,SIGLEC8
Siglece,ENSMUSG00000030474.9,ENSG00000168995,SIGLEC7
Siglece,ENSMUSG00000030474.9,ENSG00000254521,SIGLEC12
Dock1,ENSMUSG00000058325.6,ENSG00000150760,DOCK1
Ankib1,ENSMUSG00000040351.11,ENSG00000001629,ANKIB1
Pdia2,ENSMUSG00000024184.15,ENSG00000185615,PDIA2
Haghl,ENSMUSG00000061046.9,ENSG00000103253,HAGHL
Psmb1,ENSMUSG00000014769.10,ENSG00000008018,PSMB1
Phc2,ENSMUSG00000028796.17,ENSG00000134686,PHC2
Prima1,ENSMUSG00000041669.15,ENSG00000175785,PRIMA1
Gm13119,ENSMUSG00000070619.5,ENSG00000116721,PRAMEF1
Gm13119,ENSMUSG00000070619.5,ENSG00000204479,PRAMEF17
Gm13119,ENSMUSG00000070619.5,ENSG00000270601,PRAMEF5
Gm13119,ENSMUSG00000070619.5,ENSG00000280267,PRAMEF26
